0,0,0
0,1,1
0,2,0
0,3,0
0,4,0
0,5,1
0,6,1
0,7,2
0,8,0
0,9,0
0,10,1
0,11,3
0,12,0
0,13,3
0,14,1
0,15,16
0,16,2
0,17,1
0,18,4
0,19,14
1,0,3
1,1,0
1,2,5
1,3,6
1,4,5
1,5,6
1,6,2
1,7,1
1,8,0
1,9,0
1,10,0
1,11,0
1,12,7
1,13,7
1,14,2
1,15,4
1,16,1
1,17,1
1,18,0
1,19,0
2,0,0
2,1,6
2,2,0
2,3,11
2,4,5
2,5,4
2,6,1
2,7,3
2,8,2
2,9,1
2,10,2
2,11,2
2,12,2
2,13,4
2,14,0
2,15,4
2,16,0
2,17,1
2,18,2
2,19,0
3,0,2
3,1,2
3,2,12
3,3,0
3,4,12
3,5,4
3,6,0
3,7,2
3,8,0
3,9,0
3,10,1
3,11,2
3,12,3
3,13,1
3,14,4
3,15,0
3,16,0
3,17,2
3,18,2
3,19,1
4,0,2
4,1,7
4,2,4
4,3,15
4,4,0
4,5,3
4,6,3
4,7,1
4,8,2
4,9,1
4,10,1
4,11,3
4,12,3
4,13,2
4,14,0
4,15,0
4,16,1
4,17,0
4,18,1
4,19,1
5,0,3
5,1,6
5,2,4
5,3,7
5,4,4
5,5,0
5,6,3
5,7,3
5,8,0
5,9,1
5,10,0
5,11,2
5,12,8
5,13,2
5,14,2
5,15,2
5,16,0
5,17,0
5,18,1
5,19,2
6,0,2
6,1,3
6,2,2
6,3,10
6,4,4
6,5,5
6,6,0
6,7,1
6,8,1
6,9,1
6,10,2
6,11,1
6,12,4
6,13,2
6,14,1
6,15,2
6,16,0
6,17,4
6,18,4
6,19,1
7,0,1
7,1,2
7,2,0
7,3,4
7,4,4
7,5,3
7,6,4
7,7,0
7,8,2
7,9,2
7,10,1
7,11,1
7,12,5
7,13,2
7,14,2
7,15,6
7,16,5
7,17,3
7,18,1
7,19,2
8,0,1
8,1,0
8,2,1
8,3,3
8,4,2
8,5,0
8,6,3
8,7,4
8,8,0
8,9,1
8,10,7
8,11,3
8,12,3
8,13,2
8,14,2
8,15,5
8,16,6
8,17,0
8,18,3
8,19,4
9,0,4
9,1,0
9,2,0
9,3,2
9,4,1
9,5,0
9,6,1
9,7,0
9,8,0
9,9,0
9,10,14
9,11,2
9,12,5
9,13,4
9,14,3
9,15,4
9,16,1
9,17,0
9,18,5
9,19,4
10,0,3
10,1,1
10,2,2
10,3,2
10,4,3
10,5,1
10,6,2
10,7,3
10,8,2
10,9,12
10,10,0
10,11,2
10,12,2
10,13,1
10,14,1
10,15,0
10,16,3
10,17,2
10,18,4
10,19,4
11,0,2
11,1,1
11,2,1
11,3,1
11,4,1
11,5,0
11,6,2
11,7,4
11,8,1
11,9,1
11,10,1
11,11,0
11,12,2
11,13,1
11,14,4
11,15,5
11,16,8
11,17,4
11,18,4
11,19,7
12,0,0
12,1,4
12,2,2
12,3,3
12,4,4
12,5,4
12,6,3
12,7,3
12,8,1
12,9,2
12,10,2
12,11,2
12,12,0
12,13,4
12,14,3
12,15,2
12,16,2
12,17,2
12,18,1
12,19,6
13,0,5
13,1,2
13,2,1
13,3,2
13,4,6
13,5,1
13,6,2
13,7,0
13,8,0
13,9,3
13,10,1
13,11,3
13,12,1
13,13,0
13,14,0
13,15,10
13,16,5
13,17,0
13,18,2
13,19,6
14,0,7
14,1,6
14,2,0
14,3,0
14,4,4
14,5,1
14,6,0
14,7,2
14,8,1
14,9,2
14,10,3
14,11,4
14,12,1
14,13,2
14,14,0
14,15,5
14,16,5
14,17,4
14,18,1
14,19,2
15,0,11
15,1,1
15,2,2
15,3,0
15,4,0
15,5,1
15,6,0
15,7,3
15,8,0
15,9,0
15,10,0
15,11,4
15,12,0
15,13,3
15,14,4
15,15,0
15,16,4
15,17,2
15,18,1
15,19,14
16,0,5
16,1,1
16,2,1
16,3,1
16,4,0
16,5,1
16,6,1
16,7,2
16,8,1
16,9,3
16,10,1
16,11,5
16,12,4
16,13,1
16,14,5
16,15,4
16,16,0
16,17,3
16,18,5
16,19,6
17,0,8
17,1,1
17,2,0
17,3,2
17,4,0
17,5,3
17,6,2
17,7,2
17,8,2
17,9,3
17,10,3
17,11,5
17,12,2
17,13,0
17,14,2
17,15,5
17,16,5
17,17,0
17,18,3
17,19,2
18,0,3
18,1,0
18,2,1
18,3,2
18,4,1
18,5,0
18,6,1
18,7,0
18,8,2
18,9,5
18,10,7
18,11,2
18,12,1
18,13,2
18,14,1
18,15,10
18,16,3
18,17,1
18,18,0
18,19,8
19,0,18
19,1,0
19,2,0
19,3,1
19,4,0
19,5,2
19,6,1
19,7,2
19,8,0
19,9,0
19,10,1
19,11,1
19,12,0
19,13,2
19,14,2
19,15,10
19,16,6
19,17,1
19,18,3
19,19,0
